Year ended June,Region,Region Code,Measure,Value,Value Unit,Value Label,Null Reason
2002,Hawke's Bay,Hawke's Bay Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2002,Taranaki,Taranaki Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in ice volume,-2,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2002,North Island,Total North Island,Change in ice volume,-2,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Change in ice volume,-753,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Change in ice volume,-959,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Change in ice volume,-107,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Change in ice volume,-32,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2002,Nelson,Nelson Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2002,Marlborough,Marlborough Region,Change in ice volume,0,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Change in ice volume,-1851,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Change in ice volume,-1853,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Change in snow,0,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Change in snow,0,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Change in snow,2,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Change in snow,-1,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Change in snow,-1,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Change in snow,-2,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Change in snow,0,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in snow,0,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Change in snow,-37,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Change in snow,-39,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Change in snow,-448,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Change in snow,979,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Change in snow,602,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Change in snow,-115,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Change in snow,6,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Change in snow,0,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Change in snow,161,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Change in snow,1184,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Change in snow,1145,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Change in soil moisture,139,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Change in soil moisture,26,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Change in soil moisture,394,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Change in soil moisture,282,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Change in soil moisture,339,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Change in soil moisture,121,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Change in soil moisture,125,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in soil moisture,159,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Change in soil moisture,105,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Change in soil moisture,1690,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Change in soil moisture,64,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Change in soil moisture,105,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Change in soil moisture,212,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Change in soil moisture,109,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Change in soil moisture,95,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Change in soil moisture,6,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Change in soil moisture,85,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Change in soil moisture,676,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Change in soil moisture,2366,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Change in lakes,0,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Change in lakes,-8,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Change in lakes,547,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Change in lakes,18,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Change in lakes,0,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Change in lakes,14,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Change in lakes,0,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in lakes,19,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Change in lakes,2,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Change in lakes,593,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Change in lakes,37,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Change in lakes,715,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Change in lakes,416,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Change in lakes,431,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Change in lakes,14,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Change in lakes,0,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Change in lakes,0,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Change in lakes,1612,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Change in lakes,2205,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Evapotranspiration,8935,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Evapotranspiration,3011,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Evapotranspiration,15611,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Evapotranspiration,9589,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Evapotranspiration,6351,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Evapotranspiration,8382,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Evapotranspiration,4830,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Evapotranspiration,11811,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Evapotranspiration,5499,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Evapotranspiration,74019,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Evapotranspiration,14077,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Evapotranspiration,12883,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Evapotranspiration,11979,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Evapotranspiration,14390,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Evapotranspiration,5657,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Evapotranspiration,228,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Evapotranspiration,4070,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Evapotranspiration,63286,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Evapotranspiration,137305,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Inflow from other regions,2,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Inflow from other regions,6,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Inflow from other regions,47,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Inflow from other regions,5112,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Inflow from other regions,2980,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Inflow from other regions,1342,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Inflow from other regions,4,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Inflow from other regions,22,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Inflow from other regions,43,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Inflow from other regions,,number,Millions of cubic metres per year,not applicable
2002,West Coast,West Coast Region,Inflow from other regions,7416,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Inflow from other regions,10239,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Inflow from other regions,14219,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Inflow from other regions,70,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Inflow from other regions,1421,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Inflow from other regions,5,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Inflow from other regions,8457,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Inflow from other regions,,number,Millions of cubic metres per year,not applicable
2002,New Zealand,Total New Zealand,Inflow from other regions,,number,Millions of cubic metres per year,not applicable
2002,Northland,Northland Region,Outflow to other regions,0,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Outflow to other regions,24,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Outflow to other regions,32,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Outflow to other regions,2788,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Outflow to other regions,6433,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Outflow to other regions,220,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Outflow to other regions,1,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Outflow to other regions,60,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Outflow to other regions,0,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Outflow to other regions,,number,Millions of cubic metres per year,not applicable
2002,West Coast,West Coast Region,Outflow to other regions,1349,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Outflow to other regions,22579,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Outflow to other regions,123,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Outflow to other regions,132,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Outflow to other regions,7386,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Outflow to other regions,72,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Outflow to other regions,10186,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Outflow to other regions,,number,Millions of cubic metres per year,not applicable
2002,New Zealand,Total New Zealand,Outflow to other regions,,number,Millions of cubic metres per year,not applicable
2002,Northland,Northland Region,Outflow to sea and net extraction,13877,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Outflow to sea and net extraction,4001,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Outflow to sea and net extraction,19041,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Outflow to sea and net extraction,18597,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Outflow to sea and net extraction,7645,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Outflow to sea and net extraction,13434,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Outflow to sea and net extraction,9453,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Outflow to sea and net extraction,20677,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Outflow to sea and net extraction,9249,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Outflow to sea and net extraction,115974,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Outflow to sea and net extraction,133882,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Outflow to sea and net extraction,36974,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Outflow to sea and net extraction,37811,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Outflow to sea and net extraction,52975,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Outflow to sea and net extraction,10284,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Outflow to sea and net extraction,479,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Outflow to sea and net extraction,9941,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Outflow to sea and net extraction,282347,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Outflow to sea and net extraction,398321,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Precipitation,23161,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Precipitation,7101,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Precipitation,35682,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Precipitation,26195,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Precipitation,17787,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Precipitation,20827,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Precipitation,14336,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Precipitation,32973,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Precipitation,14994,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Precipitation,193056,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Precipitation,140844,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Precipitation,65063,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Precipitation,36664,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Precipitation,68048,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Precipitation,22484,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Precipitation,782,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Precipitation,16030,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Precipitation,349914,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Precipitation,542970,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Total change in water storage,351,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Total change in water storage,72,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Total change in water storage,1045,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Total change in water storage,333,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Total change in water storage,338,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Total change in water storage,132,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Total change in water storage,55,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Total change in water storage,447,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Total change in water storage,289,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Total change in water storage,3062,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Total change in water storage,-1048,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Total change in water storage,2865,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Total change in water storage,970,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Total change in water storage,620,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Total change in water storage,577,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Total change in water storage,6,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Total change in water storage,290,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Total change in water storage,4281,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Total change in water storage,7343,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Total inflows,23163,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Total inflows,7107,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Total inflows,35729,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Total inflows,31308,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Total inflows,20767,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Total inflows,22169,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Total inflows,14340,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Total inflows,32995,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Total inflows,15037,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Total inflows,193056,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Total inflows,148260,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Total inflows,75302,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Total inflows,50883,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Total inflows,68117,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Total inflows,23905,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Total inflows,786,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Total inflows,24487,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Total inflows,349914,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Total inflows,542970,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Total outflows,22812,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Total outflows,7035,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Total outflows,34684,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Total outflows,30975,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Total outflows,20429,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Total outflows,22036,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Total outflows,14285,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Total outflows,32548,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Total outflows,14748,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Total outflows,189993,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Total outflows,149308,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Total outflows,72436,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Total outflows,49913,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Total outflows,67497,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Total outflows,23328,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Total outflows,780,number,Millions of cubic metres per year,
2002,Marlborough,Marlborough Region,Total outflows,24197,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Total outflows,345633,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Total outflows,535626,number,Millions of cubic metres per year,
2002,Northland,Northland Region,Change in groundwater,212,number,Millions of cubic metres per year,
2002,Auckland,Auckland Region,Change in groundwater,54,number,Millions of cubic metres per year,
2002,Waikato,Waikato Region,Change in groundwater,102,number,Millions of cubic metres per year,
2002,Bay of Plenty,Bay of Plenty Region,Change in groundwater,34,number,Millions of cubic metres per year,
2002,Gisborne,Gisborne Region,Change in groundwater,0,number,Millions of cubic metres per year,
2002,Hawke's Bay,Hawke's Bay Region,Change in groundwater,0,number,Millions of cubic metres per year,
2002,Taranaki,Taranaki Region,Change in groundwater,-70,number,Millions of cubic metres per year,
2002,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in groundwater,270,number,Millions of cubic metres per year,
2002,Wellington,Wellington Region,Change in groundwater,219,number,Millions of cubic metres per year,
2002,North Island,Total North Island,Change in groundwater,821,number,Millions of cubic metres per year,
2002,West Coast,West Coast Region,Change in groundwater,51,number,Millions of cubic metres per year,
2002,Canterbury,Canterbury Region,Change in groundwater,2026,number,Millions of cubic metres per year,
2002,Otago,Otago Region,Change in groundwater,-152,number,Millions of cubic metres per year,
2002,Southland,Southland Region,Change in groundwater,228,number,Millions of cubic metres per year,
2002,Tasman,Tasman Region,Change in groundwater,462,number,Millions of cubic metres per year,
2002,Nelson,Nelson Region,Change in groundwater,,number,Millions of cubic metres per year,not applicable
2002,Marlborough,Marlborough Region,Change in groundwater,44,number,Millions of cubic metres per year,
2002,South Island,Total South Island,Change in groundwater,2659,number,Millions of cubic metres per year,
2002,New Zealand,Total New Zealand,Change in groundwater,3480,number,Millions of cubic metres per year,
2003,Northland,Northland Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Auckland,Auckland Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Waikato,Waikato Region,Change in ice volume,0,number,Millions of cubic metres per year,
2003,Bay of Plenty,Bay of Plenty Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Gisborne,Gisborne Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Hawke's Bay,Hawke's Bay Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Taranaki,Taranaki Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in ice volume,1,number,Millions of cubic metres per year,
2003,Wellington,Wellington Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,North Island,Total North Island,Change in ice volume,2,number,Millions of cubic metres per year,
2003,West Coast,West Coast Region,Change in ice volume,578,number,Millions of cubic metres per year,
2003,Canterbury,Canterbury Region,Change in ice volume,737,number,Millions of cubic metres per year,
2003,Otago,Otago Region,Change in ice volume,82,number,Millions of cubic metres per year,
2003,Southland,Southland Region,Change in ice volume,25,number,Millions of cubic metres per year,
2003,Tasman,Tasman Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Nelson,Nelson Region,Change in ice volume,,number,Millions of cubic metres per year,not applicable
2003,Marlborough,Marlborough Region,Change in ice volume,0,number,Millions of cubic metres per year,
2003,South Island,Total South Island,Change in ice volume,1422,number,Millions of cubic metres per year,
2003,New Zealand,Total New Zealand,Change in ice volume,1423,number,Millions of cubic metres per year,
2003,Northland,Northland Region,Change in snow,0,number,Millions of cubic metres per year,
2003,Auckland,Auckland Region,Change in snow,0,number,Millions of cubic metres per year,
2003,Waikato,Waikato Region,Change in snow,-2,number,Millions of cubic metres per year,
2003,Bay of Plenty,Bay of Plenty Region,Change in snow,0,number,Millions of cubic metres per year,
2003,Gisborne,Gisborne Region,Change in snow,0,number,Millions of cubic metres per year,
2003,Hawke's Bay,Hawke's Bay Region,Change in snow,-9,number,Millions of cubic metres per year,
2003,Taranaki,Taranaki Region,Change in snow,0,number,Millions of cubic metres per year,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in snow,-4,number,Millions of cubic metres per year,
2003,Wellington,Wellington Region,Change in snow,-6,number,Millions of cubic metres per year,
2003,North Island,Total North Island,Change in snow,-21,number,Millions of cubic metres per year,
2003,West Coast,West Coast Region,Change in snow,-51,number,Millions of cubic metres per year,
2003,Canterbury,Canterbury Region,Change in snow,-1468,number,Millions of cubic metres per year,
2003,Otago,Otago Region,Change in snow,-863,number,Millions of cubic metres per year,
2003,Southland,Southland Region,Change in snow,-519,number,Millions of cubic metres per year,
2003,Tasman,Tasman Region,Change in snow,10,number,Millions of cubic metres per year,
2003,Nelson,Nelson Region,Change in snow,0,number,Millions of cubic metres per year,
2003,Marlborough,Marlborough Region,Change in snow,-191,number,Millions of cubic metres per year,
2003,South Island,Total South Island,Change in snow,-3081,number,Millions of cubic metres per year,
2003,New Zealand,Total New Zealand,Change in snow,-3103,number,Millions of cubic metres per year,
2003,Northland,Northland Region,Change in soil moisture,-37,number,Millions of cubic metres per year,
2003,Auckland,Auckland Region,Change in soil moisture,19,number,Millions of cubic metres per year,
2003,Waikato,Waikato Region,Change in soil moisture,-117,number,Millions of cubic metres per year,
2003,Bay of Plenty,Bay of Plenty Region,Change in soil moisture,-43,number,Millions of cubic metres per year,
2003,Gisborne,Gisborne Region,Change in soil moisture,-143,number,Millions of cubic metres per year,
2003,Hawke's Bay,Hawke's Bay Region,Change in soil moisture,-91,number,Millions of cubic metres per year,
2003,Taranaki,Taranaki Region,Change in soil moisture,53,number,Millions of cubic metres per year,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in soil moisture,212,number,Millions of cubic metres per year,
2003,Wellington,Wellington Region,Change in soil moisture,-12,number,Millions of cubic metres per year,
2003,North Island,Total North Island,Change in soil moisture,-159,number,Millions of cubic metres per year,
2003,West Coast,West Coast Region,Change in soil moisture,376,number,Millions of cubic metres per year,
2003,Canterbury,Canterbury Region,Change in soil moisture,59,number,Millions of cubic metres per year,
2003,Otago,Otago Region,Change in soil moisture,-235,number,Millions of cubic metres per year,
2003,Southland,Southland Region,Change in soil moisture,140,number,Millions of cubic metres per year,
2003,Tasman,Tasman Region,Change in soil moisture,87,number,Millions of cubic metres per year,
2003,Nelson,Nelson Region,Change in soil moisture,0,number,Millions of cubic metres per year,
2003,Marlborough,Marlborough Region,Change in soil moisture,-12,number,Millions of cubic metres per year,
2003,South Island,Total South Island,Change in soil moisture,414,number,Millions of cubic metres per year,
2003,New Zealand,Total New Zealand,Change in soil moisture,255,number,Millions of cubic metres per year,
2003,Northland,Northland Region,Change in lakes,0,number,Millions of cubic metres per year,
2003,Auckland,Auckland Region,Change in lakes,-10,number,Millions of cubic metres per year,
2003,Waikato,Waikato Region,Change in lakes,-284,number,Millions of cubic metres per year,
2003,Bay of Plenty,Bay of Plenty Region,Change in lakes,-37,number,Millions of cubic metres per year,
2003,Gisborne,Gisborne Region,Change in lakes,0,number,Millions of cubic metres per year,
2003,Hawke's Bay,Hawke's Bay Region,Change in lakes,-18,number,Millions of cubic metres per year,
2003,Taranaki,Taranaki Region,Change in lakes,0,number,Millions of cubic metres per year,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Change in lakes,-15,number,Millions of cubic metres per year,
2003,Wellington,Wellington Region,Change in lakes,-10,number,Millions of cubic metres per year,
2003,North Island,Total North Island,Change in lakes,-375,number,Millions of cubic metres per year,
2003,West Coast,West Coast Region,Change in lakes,4,number,Millions of cubic metres per year,
2003,Canterbury,Canterbury Region,Change in lakes,-161,number,Millions of cubic metres per year,
2003,Otago,Otago Region,Change in lakes,-307,number,Millions of cubic metres per year,
2003,Southland,Southland Region,Change in lakes,4,number,Millions of cubic metres per year,
2003,Tasman,Tasman Region,Change in lakes,-4,number,Millions of cubic metres per year,
2003,Nelson,Nelson Region,Change in lakes,0,number,Millions of cubic metres per year,
2003,Marlborough,Marlborough Region,Change in lakes,0,number,Millions of cubic metres per year,
2003,South Island,Total South Island,Change in lakes,-465,number,Millions of cubic metres per year,
2003,New Zealand,Total New Zealand,Change in lakes,-840,number,Millions of cubic metres per year,
2003,Northland,Northland Region,Evapotranspiration,8211,number,Millions of cubic metres per year,
2003,Auckland,Auckland Region,Evapotranspiration,2764,number,Millions of cubic metres per year,
2003,Waikato,Waikato Region,Evapotranspiration,14563,number,Millions of cubic metres per year,
2003,Bay of Plenty,Bay of Plenty Region,Evapotranspiration,8493,number,Millions of cubic metres per year,
2003,Gisborne,Gisborne Region,Evapotranspiration,6019,number,Millions of cubic metres per year,
2003,Hawke's Bay,Hawke's Bay Region,Evapotranspiration,7833,number,Millions of cubic metres per year,
2003,Taranaki,Taranaki Region,Evapotranspiration,4193,number,Millions of cubic metres per year,
2003,Manawatū-Whanganui,Manawatu-Wanganui Region,Evapotranspiration,10471,number,Millions of cubic metres per year,
2003,Wellington,Wellington Region,Evapotranspiration,4612,number,Millions of cubic metres per year,
2003,North Island,Total North Island,Evapotranspiration,67159,number,Millions of cubic metres per year,
2003,West Coast,West Coast Region,Evapotranspiration,13688,number,Millions of cubic metres per year,
2003,Canterbury,Canterbury Region,Evapotranspiration,11598,number,Millions of cubic metres per year,
