Date(NZST),Rainfall(mm),Deficit(mm)
20230722,0,0.7
20230723,0,1
20230724,0.2,1.1
20230725,0,1.5
20230726,10,0
20230727,9.4,0
20230728,0.4,0
20230729,0,0.3
20230730,0,0.7
20230731,0,1
20230801,8,0
20230802,18.2,0
20230803,0.2,0.9
20230804,0,1.9
20230805,0,3
20230806,0,4
20230807,0.2,4.9
20230808,0.2,5.7
20230809,2,4.8
20230810,2.4,3.4
20230811,0,4.5
20230812,0,5.5
20230813,0.4,6.2
20230814,12.2,0
20230815,6.2,0
20230816,19.4,0
20230817,1,0.1
20230818,0.2,0.9
20230819,0,2
20230820,45,0
20230821,1.8,0
20230822,0,1.1
20230823,0,2.1
20230824,0,3.2
20230825,0,4.2
20230826,0,5.3
20230827,1.2,5.2
